Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	145	71.59
NC_019503	Escherichia phage ime09	268	36	5.22
NC_024625	Peridroma alphabaculovirus	139	20	4.32
NC_007817	Enterobacteria phage ID2 Moscow/ID/2001	11	6	45.45
NC_002321	Staphylococcus phage PVL	62	11	4.84
NC_003378	Tobacco vein clearing virus	4	1	25.00
NC_022987	Xylella phage Prado	52	15	11.54
NC_023737	Mycobacterium phage Pleione	238	67	5.46
NC_021534	Vibrio phage pYD38-A	77	60	7.79
NC_002484	Pseudomonas phage D3	99	100	13.13
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	21	15.38
NC_023736	Ralstonia phage RSB2	52	72	19.23
NC_019769	Enterobacteria phage HK542	57	40	21.05
NC_005839	Agrotis segetum granulovirus	132	9	1.52
NC_021340	Halovirus HHTV-2	88	14	2.27
NC_011142	Iodobacteriophage phiPLPE	84	30	7.14
NC_009643	Actinomyces virus Av1	22	1	4.55
NC_019708	Enterobacteria phage mEp235	61	67	22.95
NC_025375	Stygiolobus rod-shaped virus	37	3	2.70
NC_021305	Mycobacterium phage Murphy	146	64	6.16
NC_006936	Lactobacillus virus phiJL1	46	8	6.52
NC_001618	UR2 sarcoma virus	2	1	50.00
NC_025420	Lactobacillus phage Ld17	50	34	10.00
NC_011287	Mycobacterium phage Pacc40	101	24	4.95
NC_024906	Rose leaf rosette-associated virus	13	13	7.69
NC_021310	Mycobacterium phage Newman	97	5	2.06
NC_000898	Human betaherpesvirus 6B	104	3	0.96
NC_009554	Lactobacillus phage LL-H	51	11	5.88
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	5	4.82
NC_001664	Human betaherpesvirus 6A	88	3	1.14
NC_011222	Bacteroides phage B40-8	46	37	10.87
NC_003315	Haemophilus phage HP2	37	6	5.41
NC_023601	Pseudomonas phage phiPsa374	173	51	10.98
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	36	4.26
NC_012663	Lactococcus phage P087	88	30	3.41
NC_007145	Burkholderia virus phi52237	47	10	10.64
NC_021323	Staphylococcus phage StauST398-2	62	30	17.74
NC_009018	Streptococcus phage phi3396	64	17	7.81
NC_009552	Geobacillus virus E2	71	68	15.49
NC_020853	Loktanella phage pCB2051-A	76	35	10.53
NC_024122	Salmonella phage vB_SalM_SJ3	210	26	7.62
NC_011373	Pseudomonas phage PAJU2	79	75	13.92
NC_021531	Cronobacter phage CR5	231	58	1.73
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	121	16.52
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	2	1.32
NC_015290	Prochlorococcus phage P-SSM7	237	414	29.54
NC_021312	Phaeocystis globosa virus	434	378	13.13
NC_020198	Pseudomonas phage JBD30	56	1	1.79
NC_001716	Human betaherpesvirus 7	86	4	2.33
NC_011644	Equid alphaherpesvirus 9	80	8	1.25
NC_025246	Silurus glanis circovirus	2	1	50.00
NC_015264	Pseudomonas phage phiIBB-PF7A	52	36	19.23
NC_026924	Synechococcus phage ACG-2014g	216	291	29.17
NC_013021	Cyanophage PSS2	131	107	9.16
NC_021540	Vibrio phage JA-1	79	21	8.86
NC_019411	Caulobacter virus Swift	343	93	7.58
NC_002531	Alcelaphine gammaherpesvirus 1	71	4	1.41
NC_002643	Bdellovibrio phage phiMH2K	11	1	9.09
NC_018861	Campylobacter phage CP30A	162	16	5.56
NC_015159	Vibrio phage ICP3	54	68	20.37
NC_023703	Mycobacterium phage Dori	94	15	5.32
NC_021775	Salmonella phage FSL SP-031	59	21	10.17
NC_021804	Cellulophaga phage phi39:1	48	33	8.33
NC_019927	Cronobacter phage ENT47670	46	60	19.57
NC_020860	Cellulophaga phage phiSM	59	25	13.56
NC_014564	Turkey adenovirus 1	37	3	2.70
NC_024134	Escherichia phage FFH2	218	23	5.05
NC_020854	Cyanophage KBS-S-2A	64	117	28.12
NC_001826	Murid gammaherpesvirus 4	80	2	1.25
NC_024121	Serratia phage PS2	275	40	6.55
NC_001420	Enterobacteria phage G4 sensu lato	11	6	45.45
NC_023705	Mycobacterium phage Liefie	61	10	1.64
NC_025455	Synechococcus phage S-CBP2	53	43	18.87
NC_020416	Salmonella phage vB_SenMS16	268	33	7.46
NC_028990	Enterococcus phage vB_EfaS_IME196	57	11	7.02
NC_003291	Listeria phage 2389	59	14	5.08
NC_020839	Rhodobacter phage RC1	56	40	10.71
NC_022065	Mycobacterium phage Contagion	140	62	6.43
