Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	216	96.59
NC_019503	Escherichia phage ime09	268	54	7.84
NC_024625	Peridroma alphabaculovirus	139	28	3.60
NC_002321	Staphylococcus phage PVL	62	25	8.06
NC_022987	Xylella phage Prado	52	5	9.62
NC_023737	Mycobacterium phage Pleione	238	98	4.62
NC_021534	Vibrio phage pYD38-A	77	79	12.99
NC_002484	Pseudomonas phage D3	99	152	14.14
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	31	17.31
NC_023736	Ralstonia phage RSB2	52	50	15.38
NC_019769	Enterobacteria phage HK542	57	55	29.82
NC_005839	Agrotis segetum granulovirus	132	14	2.27
NC_021340	Halovirus HHTV-2	88	19	2.27
NC_011142	Iodobacteriophage phiPLPE	84	49	9.52
NC_019708	Enterobacteria phage mEp235	61	109	32.79
NC_025375	Stygiolobus rod-shaped virus	37	6	2.70
NC_021305	Mycobacterium phage Murphy	146	116	8.90
NC_006936	Lactobacillus virus phiJL1	46	5	4.35
NC_025420	Lactobacillus phage Ld17	50	11	6.00
NC_011287	Mycobacterium phage Pacc40	101	28	3.96
NC_024906	Rose leaf rosette-associated virus	13	25	7.69
NC_021310	Mycobacterium phage Newman	97	10	3.09
NC_000898	Human betaherpesvirus 6B	104	5	1.92
NC_009554	Lactobacillus phage LL-H	51	20	5.88
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	7	7.23
NC_001664	Human betaherpesvirus 6A	88	5	2.27
NC_011222	Bacteroides phage B40-8	46	48	19.57
NC_003315	Haemophilus phage HP2	37	11	16.22
NC_023601	Pseudomonas phage phiPsa374	173	70	6.94
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	46	2.13
NC_012663	Lactococcus phage P087	88	71	3.41
NC_007145	Burkholderia virus phi52237	47	24	29.79
NC_021323	Staphylococcus phage StauST398-2	62	47	16.13
NC_009018	Streptococcus phage phi3396	64	16	7.81
NC_009552	Geobacillus virus E2	71	119	12.68
NC_020853	Loktanella phage pCB2051-A	76	39	10.53
NC_024122	Salmonella phage vB_SalM_SJ3	210	24	4.76
NC_011373	Pseudomonas phage PAJU2	79	93	16.46
NC_021531	Cronobacter phage CR5	231	107	4.33
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	107	13.04
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	3	3.95
NC_015290	Prochlorococcus phage P-SSM7	237	588	30.38
NC_021312	Phaeocystis globosa virus	434	605	13.82
NC_020198	Pseudomonas phage JBD30	56	3	3.57
NC_001716	Human betaherpesvirus 7	86	2	2.33
NC_011644	Equid alphaherpesvirus 9	80	26	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	20	13.46
NC_026924	Synechococcus phage ACG-2014g	216	420	31.94
NC_013021	Cyanophage PSS2	131	127	7.63
NC_021540	Vibrio phage JA-1	79	29	6.33
NC_019411	Caulobacter virus Swift	343	140	7.00
NC_002531	Alcelaphine gammaherpesvirus 1	71	9	2.82
NC_002643	Bdellovibrio phage phiMH2K	11	1	9.09
NC_018861	Campylobacter phage CP30A	162	33	11.73
NC_015159	Vibrio phage ICP3	54	38	18.52
NC_023703	Mycobacterium phage Dori	94	23	10.64
NC_021775	Salmonella phage FSL SP-031	59	26	13.56
NC_021804	Cellulophaga phage phi39:1	48	61	14.58
NC_019927	Cronobacter phage ENT47670	46	97	23.91
NC_020860	Cellulophaga phage phiSM	59	36	15.25
NC_014564	Turkey adenovirus 1	37	4	2.70
NC_024134	Escherichia phage FFH2	218	28	6.42
NC_020854	Cyanophage KBS-S-2A	64	150	32.81
NC_001826	Murid gammaherpesvirus 4	80	16	5.00
NC_024121	Serratia phage PS2	275	58	8.36
NC_002816	Cydia pomonella granulovirus	143	1	0.70
NC_023705	Mycobacterium phage Liefie	61	20	4.92
NC_025455	Synechococcus phage S-CBP2	53	41	13.21
NC_020416	Salmonella phage vB_SenMS16	268	60	9.33
NC_028990	Enterococcus phage vB_EfaS_IME196	57	19	12.28
NC_003291	Listeria phage 2389	59	21	6.78
NC_020839	Rhodobacter phage RC1	56	65	10.71
NC_022065	Mycobacterium phage Contagion	140	115	8.57
NC_011292	Mycobacterium phage Konstantine	95	20	6.32
NC_020489	Rhodobacter phage RcapNL	64	15	7.81
NC_015253	Brochothrix phage A9	199	19	2.51
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	88	10.63
NC_004456	Vibrio phage VHML	57	22	14.04
NC_016163	Yersinia phage phiR1-37	367	105	3.54
NC_007149	Vibriophage VP4	31	39	35.48
NC_025115	Ralstonia phage RSY1	49	71	28.57
NC_005841	Enterobacteria phage ST104	63	63	17.46
NC_009526	Staphylococcus phage 80alpha	73	36	8.22
NC_027996	Campylobacter virus CPt10	196	26	4.08
NC_019512	Helicobacter phage 1961P	33	17	9.09
NC_015286	Synechococcus phage Syn19	215	464	31.16
NC_007049	Staphylococcus phage 53	74	35	6.76
NC_022058	Mycobacterium phage Adzzy	96	46	11.46
NC_006963	Blackberry yellow vein-associated virus	9	9	11.11
NC_013647	Klebsiella phage KP32	44	35	31.82
NC_008168	Choristoneura occidentalis granulovirus	116	4	3.45
NC_022096	Pseudomonas phage PaBG	308	144	2.92
NC_009877	Mycobacterium phage U2	81	21	8.64
NC_008603	Paramecium bursaria Chlorella virus FR483	849	623	10.60
NC_019421	Clostridium phage phiMMP02	76	80	5.26
NC_001798	Human alphaherpesvirus 2	77	16	2.60
NC_023615	Invertebrate iridescent virus 22	174	126	6.32
NC_013648	Enterococcus phage phiFL3A	64	33	12.50
NC_006949	Enterobacteria phage ES18	79	39	13.92
NC_006565	Lactobacillus virus LP65	165	25	6.06
NC_023552	Mycobacterium phage Donovan	78	53	8.97
NC_023725	Mycobacterium phage Nappy	234	97	5.98
NC_019719	Enterobacteria phage HK633	67	47	23.88
NC_022982	Xylella phage Paz	51	8	11.76
NC_005893	Lactobacillus phage phiAT3	55	14	5.45
NC_021311	Mycobacterium phage Phaux	145	122	9.66
NC_021221	Fowl aviadenovirus 5	39	2	2.56
NC_008376	Geobacillus phage GBSV1	54	14	11.11
NC_023587	Synechococcus phage ACG-2014h	221	386	28.96
NC_019550	Liberibacter phage SC2	47	50	17.02
NC_020841	Psychrobacter phage pOW20-A	71	144	9.86
NC_008194	Mycobacterium virus 244	142	106	8.45
NC_003310	Monkeypox virus Zaire-96-I-16	191	61	4.19
NC_015271	Salmonella phage Vi06	47	16	21.28
NC_003309	Burkholderia virus phiE125	71	127	28.17
NC_019525	Bdellovibrio phage phi1422	76	36	7.89
