Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	195	85.23
NC_019503	Escherichia phage ime09	268	63	8.21
NC_024625	Peridroma alphabaculovirus	139	28	2.88
NC_007817	Enterobacteria phage ID2 Moscow/ID/2001	11	11	63.64
NC_002321	Staphylococcus phage PVL	62	23	9.68
NC_022987	Xylella phage Prado	52	15	11.54
NC_023737	Mycobacterium phage Pleione	238	104	4.62
NC_021534	Vibrio phage pYD38-A	77	71	12.99
NC_002484	Pseudomonas phage D3	99	162	15.15
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	38	15.38
NC_023736	Ralstonia phage RSB2	52	76	19.23
NC_019769	Enterobacteria phage HK542	57	62	28.07
NC_005839	Agrotis segetum granulovirus	132	16	3.03
NC_021340	Halovirus HHTV-2	88	20	2.27
NC_011142	Iodobacteriophage phiPLPE	84	39	8.33
NC_019708	Enterobacteria phage mEp235	61	86	27.87
NC_025375	Stygiolobus rod-shaped virus	37	9	5.41
NC_021305	Mycobacterium phage Murphy	146	112	6.16
NC_006936	Lactobacillus virus phiJL1	46	10	6.52
NC_001618	UR2 sarcoma virus	2	1	50.00
NC_025420	Lactobacillus phage Ld17	50	22	8.00
NC_011287	Mycobacterium phage Pacc40	101	23	4.95
NC_024906	Rose leaf rosette-associated virus	13	22	7.69
NC_021310	Mycobacterium phage Newman	97	12	3.09
NC_000898	Human betaherpesvirus 6B	104	4	1.92
NC_009554	Lactobacillus phage LL-H	51	15	3.92
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	16	15.66
NC_001664	Human betaherpesvirus 6A	88	5	2.27
NC_011222	Bacteroides phage B40-8	46	42	15.22
NC_003315	Haemophilus phage HP2	37	10	10.81
NC_023601	Pseudomonas phage phiPsa374	173	100	14.45
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	47	2.13
NC_012663	Lactococcus phage P087	88	60	3.41
NC_007145	Burkholderia virus phi52237	47	17	23.40
NC_021323	Staphylococcus phage StauST398-2	62	32	14.52
NC_009018	Streptococcus phage phi3396	64	8	3.12
NC_009552	Geobacillus virus E2	71	101	15.49
NC_020853	Loktanella phage pCB2051-A	76	51	15.79
NC_024122	Salmonella phage vB_SalM_SJ3	210	31	8.10
NC_011373	Pseudomonas phage PAJU2	79	117	18.99
NC_021531	Cronobacter phage CR5	231	99	2.16
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	110	19.13
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	3	2.63
NC_015290	Prochlorococcus phage P-SSM7	237	544	30.80
NC_021312	Phaeocystis globosa virus	434	804	23.50
