Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	248	95.45
NC_019503	Escherichia phage ime09	268	106	10.07
NC_024625	Peridroma alphabaculovirus	139	32	3.60
NC_002321	Staphylococcus phage PVL	62	20	11.29
NC_022987	Xylella phage Prado	52	24	9.62
NC_023737	Mycobacterium phage Pleione	238	121	4.62
NC_021534	Vibrio phage pYD38-A	77	111	14.29
NC_002484	Pseudomonas phage D3	99	224	21.21
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	36	17.31
NC_023736	Ralstonia phage RSB2	52	60	17.31
NC_019769	Enterobacteria phage HK542	57	69	35.09
NC_011423	Adoxophyes orana nucleopolyhedrovirus	121	1	0.83
NC_005839	Agrotis segetum granulovirus	132	22	3.79
NC_021340	Halovirus HHTV-2	88	25	3.41
NC_011142	Iodobacteriophage phiPLPE	84	61	13.10
NC_009643	Actinomyces virus Av1	22	1	4.55
NC_019708	Enterobacteria phage mEp235	61	126	32.79
NC_025375	Stygiolobus rod-shaped virus	37	7	2.70
NC_021305	Mycobacterium phage Murphy	146	136	8.22
NC_006936	Lactobacillus virus phiJL1	46	16	4.35
NC_001618	UR2 sarcoma virus	2	1	50.00
NC_025420	Lactobacillus phage Ld17	50	24	10.00
NC_004994	Enzootic nasal tumour virus of goats	4	1	25.00
NC_011287	Mycobacterium phage Pacc40	101	36	4.95
NC_024906	Rose leaf rosette-associated virus	13	36	7.69
NC_021310	Mycobacterium phage Newman	97	12	7.22
NC_000898	Human betaherpesvirus 6B	104	7	2.88
NC_009554	Lactobacillus phage LL-H	51	22	7.84
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	13	12.05
NC_001664	Human betaherpesvirus 6A	88	6	3.41
NC_011222	Bacteroides phage B40-8	46	53	15.22
NC_003315	Haemophilus phage HP2	37	13	16.22
NC_023601	Pseudomonas phage phiPsa374	173	97	10.98
NC_024149	Lactoccocus phage WP-2	24	1	4.17
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	39	2.13
NC_012663	Lactococcus phage P087	88	69	3.41
NC_007145	Burkholderia virus phi52237	47	17	19.15
NC_021323	Staphylococcus phage StauST398-2	62	64	19.35
NC_009018	Streptococcus phage phi3396	64	16	6.25
NC_009552	Geobacillus virus E2	71	170	14.08
NC_020853	Loktanella phage pCB2051-A	76	56	10.53
NC_024122	Salmonella phage vB_SalM_SJ3	210	69	11.43
NC_011373	Pseudomonas phage PAJU2	79	157	25.32
NC_021531	Cronobacter phage CR5	231	113	1.73
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	142	16.52
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	7	3.95
NC_015290	Prochlorococcus phage P-SSM7	237	927	32.91
NC_021312	Phaeocystis globosa virus	434	899	22.35
NC_020198	Pseudomonas phage JBD30	56	3	5.36
NC_001716	Human betaherpesvirus 7	86	1	1.16
NC_011644	Equid alphaherpesvirus 9	80	21	3.75
NC_015264	Pseudomonas phage phiIBB-PF7A	52	27	17.31
NC_026924	Synechococcus phage ACG-2014g	216	702	34.72
NC_013021	Cyanophage PSS2	131	164	7.63
NC_021540	Vibrio phage JA-1	79	31	8.86
NC_019411	Caulobacter virus Swift	343	185	8.45
NC_002531	Alcelaphine gammaherpesvirus 1	71	14	2.82
NC_018861	Campylobacter phage CP30A	162	45	9.88
NC_015159	Vibrio phage ICP3	54	52	16.67
NC_023703	Mycobacterium phage Dori	94	21	8.51
NC_021775	Salmonella phage FSL SP-031	59	37	13.56
NC_021804	Cellulophaga phage phi39:1	48	62	6.25
NC_019927	Cronobacter phage ENT47670	46	85	19.57
NC_020860	Cellulophaga phage phiSM	59	49	15.25
NC_014564	Turkey adenovirus 1	37	3	2.70
NC_024134	Escherichia phage FFH2	218	42	5.50
NC_020854	Cyanophage KBS-S-2A	64	169	45.31
NC_001826	Murid gammaherpesvirus 4	80	18	5.00
NC_024121	Serratia phage PS2	275	98	11.27
NC_002816	Cydia pomonella granulovirus	143	7	1.40
NC_023705	Mycobacterium phage Liefie	61	25	4.92
NC_025455	Synechococcus phage S-CBP2	53	49	20.75
NC_020416	Salmonella phage vB_SenMS16	268	89	11.94
NC_028990	Enterococcus phage vB_EfaS_IME196	57	12	10.53
NC_003291	Listeria phage 2389	59	33	8.47
NC_020839	Rhodobacter phage RC1	56	71	12.50
NC_022065	Mycobacterium phage Contagion	140	138	8.57
NC_011292	Mycobacterium phage Konstantine	95	29	5.26
NC_020489	Rhodobacter phage RcapNL	64	23	15.62
NC_015253	Brochothrix phage A9	199	22	4.02
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	131	12.20
NC_004456	Vibrio phage VHML	57	34	21.05
NC_016163	Yersinia phage phiR1-37	367	148	4.09
NC_007149	Vibriophage VP4	31	54	29.03
NC_025115	Ralstonia phage RSY1	49	57	20.41
NC_005841	Enterobacteria phage ST104	63	92	19.05
NC_009526	Staphylococcus phage 80alpha	73	51	12.33
NC_027996	Campylobacter virus CPt10	196	34	8.67
NC_019512	Helicobacter phage 1961P	33	23	6.06
NC_015286	Synechococcus phage Syn19	215	809	36.74
NC_007049	Staphylococcus phage 53	74	51	10.81
NC_022058	Mycobacterium phage Adzzy	96	45	8.33
NC_006963	Blackberry yellow vein-associated virus	9	5	11.11
NC_006658	Cotesia congregata bracovirus	7	1	14.29
