Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	242	96.59
NC_019503	Escherichia phage ime09	268	105	10.45
NC_024625	Peridroma alphabaculovirus	139	49	5.04
NC_002321	Staphylococcus phage PVL	62	29	14.52
NC_022987	Xylella phage Prado	52	30	23.08
NC_023737	Mycobacterium phage Pleione	238	121	5.46
NC_021534	Vibrio phage pYD38-A	77	96	12.99
NC_002484	Pseudomonas phage D3	99	181	22.22
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	34	19.23
NC_023736	Ralstonia phage RSB2	52	58	15.38
NC_019769	Enterobacteria phage HK542	57	86	35.09
NC_005839	Agrotis segetum granulovirus	132	19	3.79
NC_021340	Halovirus HHTV-2	88	21	3.41
NC_011142	Iodobacteriophage phiPLPE	84	63	16.67
NC_009643	Actinomyces virus Av1	22	1	4.55
NC_019708	Enterobacteria phage mEp235	61	127	27.87
NC_025375	Stygiolobus rod-shaped virus	37	7	2.70
NC_021305	Mycobacterium phage Murphy	146	124	8.90
NC_006936	Lactobacillus virus phiJL1	46	9	8.70
NC_025420	Lactobacillus phage Ld17	50	26	14.00
NC_004994	Enzootic nasal tumour virus of goats	4	1	25.00
NC_011287	Mycobacterium phage Pacc40	101	32	6.93
NC_024906	Rose leaf rosette-associated virus	13	29	7.69
NC_021310	Mycobacterium phage Newman	97	13	6.19
NC_000898	Human betaherpesvirus 6B	104	5	1.92
NC_009554	Lactobacillus phage LL-H	51	21	7.84
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	36	24.10
NC_001664	Human betaherpesvirus 6A	88	5	2.27
NC_011222	Bacteroides phage B40-8	46	52	17.39
NC_003315	Haemophilus phage HP2	37	9	13.51
NC_023601	Pseudomonas phage phiPsa374	173	130	17.34
NC_024149	Lactoccocus phage WP-2	24	1	4.17
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	87	4.26
NC_012663	Lactococcus phage P087	88	69	3.41
NC_007145	Burkholderia virus phi52237	47	34	34.04
NC_021323	Staphylococcus phage StauST398-2	62	64	17.74
NC_009018	Streptococcus phage phi3396	64	23	3.12
NC_009552	Geobacillus virus E2	71	133	19.72
NC_020853	Loktanella phage pCB2051-A	76	77	22.37
NC_024122	Salmonella phage vB_SalM_SJ3	210	69	12.38
NC_011373	Pseudomonas phage PAJU2	79	116	18.99
NC_021531	Cronobacter phage CR5	231	160	8.23
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	150	20.00
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	5	2.63
NC_015290	Prochlorococcus phage P-SSM7	237	898	33.76
NC_021312	Phaeocystis globosa virus	434	902	26.50
NC_020198	Pseudomonas phage JBD30	56	14	16.07
NC_001716	Human betaherpesvirus 7	86	11	2.33
NC_011644	Equid alphaherpesvirus 9	80	34	3.75
NC_015264	Pseudomonas phage phiIBB-PF7A	52	27	21.15
NC_026924	Synechococcus phage ACG-2014g	216	688	34.26
NC_013021	Cyanophage PSS2	131	161	9.16
NC_021540	Vibrio phage JA-1	79	41	13.92
NC_019411	Caulobacter virus Swift	343	151	9.33
NC_002531	Alcelaphine gammaherpesvirus 1	71	13	2.82
NC_002643	Bdellovibrio phage phiMH2K	11	3	9.09
NC_018861	Campylobacter phage CP30A	162	35	10.49
NC_015159	Vibrio phage ICP3	54	58	14.81
NC_023703	Mycobacterium phage Dori	94	27	10.64
NC_021775	Salmonella phage FSL SP-031	59	31	18.64
NC_021804	Cellulophaga phage phi39:1	48	84	25.00
NC_019927	Cronobacter phage ENT47670	46	108	28.26
NC_020860	Cellulophaga phage phiSM	59	65	20.34
NC_014564	Turkey adenovirus 1	37	6	2.70
NC_024134	Escherichia phage FFH2	218	69	10.55
NC_020854	Cyanophage KBS-S-2A	64	213	51.56
NC_001826	Murid gammaherpesvirus 4	80	22	3.75
NC_024121	Serratia phage PS2	275	90	8.73
NC_002816	Cydia pomonella granulovirus	143	3	1.40
NC_023705	Mycobacterium phage Liefie	61	19	3.28
NC_025455	Synechococcus phage S-CBP2	53	42	22.64
NC_020416	Salmonella phage vB_SenMS16	268	105	13.43
NC_028990	Enterococcus phage vB_EfaS_IME196	57	23	12.28
NC_003291	Listeria phage 2389	59	26	6.78
NC_020839	Rhodobacter phage RC1	56	71	16.07
NC_022065	Mycobacterium phage Contagion	140	129	9.29
NC_011292	Mycobacterium phage Konstantine	95	20	2.11
NC_020489	Rhodobacter phage RcapNL	64	23	14.06
NC_015253	Brochothrix phage A9	199	27	5.53
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	159	12.99
NC_004456	Vibrio phage VHML	57	38	22.81
NC_016163	Yersinia phage phiR1-37	367	148	4.90
NC_007149	Vibriophage VP4	31	62	29.03
NC_025115	Ralstonia phage RSY1	49	108	44.90
NC_005841	Enterobacteria phage ST104	63	78	22.22
NC_009526	Staphylococcus phage 80alpha	73	29	6.85
NC_027996	Campylobacter virus CPt10	196	45	9.69
NC_019512	Helicobacter phage 1961P	33	21	6.06
NC_015286	Synechococcus phage Syn19	215	800	34.42
NC_007049	Staphylococcus phage 53	74	26	5.41
NC_022058	Mycobacterium phage Adzzy	96	48	9.38
NC_006963	Blackberry yellow vein-associated virus	9	11	11.11
NC_013647	Klebsiella phage KP32	44	41	18.18
NC_008168	Choristoneura occidentalis granulovirus	116	7	2.59
NC_022096	Pseudomonas phage PaBG	308	214	5.19
NC_009877	Mycobacterium phage U2	81	51	11.11
NC_008603	Paramecium bursaria Chlorella virus FR483	849	748	11.07
NC_019421	Clostridium phage phiMMP02	76	77	7.89
NC_001798	Human alphaherpesvirus 2	77	16	5.19
NC_023615	Invertebrate iridescent virus 22	174	171	8.62
NC_013648	Enterococcus phage phiFL3A	64	27	9.38
NC_006949	Enterobacteria phage ES18	79	65	13.92
NC_006565	Lactobacillus virus LP65	165	27	4.24
NC_023552	Mycobacterium phage Donovan	78	49	7.69
NC_023725	Mycobacterium phage Nappy	234	118	5.56
NC_019719	Enterobacteria phage HK633	67	82	26.87
NC_022982	Xylella phage Paz	51	44	31.37
NC_005893	Lactobacillus phage phiAT3	55	21	9.09
NC_021311	Mycobacterium phage Phaux	145	130	9.66
NC_021221	Fowl aviadenovirus 5	39	1	2.56
NC_008376	Geobacillus phage GBSV1	54	19	9.26
NC_023587	Synechococcus phage ACG-2014h	221	636	35.29
NC_019550	Liberibacter phage SC2	47	39	14.89
