Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	201	96.59
NC_019503	Escherichia phage ime09	268	83	9.33
NC_024625	Peridroma alphabaculovirus	139	59	5.04
NC_002321	Staphylococcus phage PVL	62	25	11.29
NC_022987	Xylella phage Prado	52	17	15.38
NC_023737	Mycobacterium phage Pleione	238	127	7.56
NC_021534	Vibrio phage pYD38-A	77	112	16.88
NC_002484	Pseudomonas phage D3	99	215	16.16
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	45	19.23
NC_023736	Ralstonia phage RSB2	52	94	21.15
NC_019769	Enterobacteria phage HK542	57	66	26.32
NC_011423	Adoxophyes orana nucleopolyhedrovirus	121	3	2.48
NC_005839	Agrotis segetum granulovirus	132	27	3.79
NC_021340	Halovirus HHTV-2	88	27	2.27
NC_011142	Iodobacteriophage phiPLPE	84	58	11.90
NC_009643	Actinomyces virus Av1	22	1	4.55
NC_019708	Enterobacteria phage mEp235	61	156	31.15
NC_025375	Stygiolobus rod-shaped virus	37	10	5.41
NC_021305	Mycobacterium phage Murphy	146	152	9.59
NC_006936	Lactobacillus virus phiJL1	46	6	4.35
NC_025420	Lactobacillus phage Ld17	50	27	8.00
NC_004994	Enzootic nasal tumour virus of goats	4	1	25.00
NC_001501	Moloney murine leukemia virus	3	3	66.67
NC_011287	Mycobacterium phage Pacc40	101	39	7.92
NC_024906	Rose leaf rosette-associated virus	13	37	7.69
NC_021310	Mycobacterium phage Newman	97	15	7.22
NC_000898	Human betaherpesvirus 6B	104	4	0.96
NC_009554	Lactobacillus phage LL-H	51	26	7.84
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	26	20.48
NC_001664	Human betaherpesvirus 6A	88	1	1.14
NC_011222	Bacteroides phage B40-8	46	70	17.39
NC_003315	Haemophilus phage HP2	37	11	10.81
NC_023601	Pseudomonas phage phiPsa374	173	136	16.18
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	95	4.96
NC_012663	Lactococcus phage P087	88	78	4.55
NC_007145	Burkholderia virus phi52237	47	32	42.55
NC_021323	Staphylococcus phage StauST398-2	62	53	16.13
NC_009018	Streptococcus phage phi3396	64	17	6.25
NC_009552	Geobacillus virus E2	71	151	18.31
NC_020853	Loktanella phage pCB2051-A	76	79	18.42
NC_024122	Salmonella phage vB_SalM_SJ3	210	54	10.48
NC_011373	Pseudomonas phage PAJU2	79	125	20.25
NC_021531	Cronobacter phage CR5	231	154	3.46
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	177	20.00
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	5	5.26
NC_015290	Prochlorococcus phage P-SSM7	237	749	31.65
NC_021312	Phaeocystis globosa virus	434	810	21.20
NC_020198	Pseudomonas phage JBD30	56	8	8.93
NC_001716	Human betaherpesvirus 7	86	3	2.33
NC_011644	Equid alphaherpesvirus 9	80	34	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	56	21.15
NC_026924	Synechococcus phage ACG-2014g	216	552	31.48
NC_013021	Cyanophage PSS2	131	174	11.45
NC_021540	Vibrio phage JA-1	79	31	10.13
NC_019411	Caulobacter virus Swift	343	182	9.33
NC_002531	Alcelaphine gammaherpesvirus 1	71	17	4.23
NC_018861	Campylobacter phage CP30A	162	37	13.58
NC_015159	Vibrio phage ICP3	54	102	22.22
NC_023703	Mycobacterium phage Dori	94	25	8.51
NC_021775	Salmonella phage FSL SP-031	59	36	15.25
NC_021804	Cellulophaga phage phi39:1	48	74	14.58
NC_019927	Cronobacter phage ENT47670	46	99	21.74
NC_020860	Cellulophaga phage phiSM	59	70	18.64
NC_014564	Turkey adenovirus 1	37	7	2.70
NC_024134	Escherichia phage FFH2	218	77	7.80
NC_020854	Cyanophage KBS-S-2A	64	188	37.50
NC_001826	Murid gammaherpesvirus 4	80	21	5.00
NC_024121	Serratia phage PS2	275	58	9.45
NC_002816	Cydia pomonella granulovirus	143	8	2.80
NC_023705	Mycobacterium phage Liefie	61	32	8.20
NC_025455	Synechococcus phage S-CBP2	53	68	33.96
NC_020416	Salmonella phage vB_SenMS16	268	86	11.94
NC_028990	Enterococcus phage vB_EfaS_IME196	57	22	8.77
NC_003291	Listeria phage 2389	59	34	8.47
NC_020839	Rhodobacter phage RC1	56	74	16.07
NC_022065	Mycobacterium phage Contagion	140	148	10.00
NC_011292	Mycobacterium phage Konstantine	95	19	4.21
NC_020489	Rhodobacter phage RcapNL	64	28	15.62
NC_015253	Brochothrix phage A9	199	25	5.03
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	121	10.24
NC_004456	Vibrio phage VHML	57	52	28.07
NC_016163	Yersinia phage phiR1-37	367	162	4.63
NC_007149	Vibriophage VP4	31	103	35.48
NC_025115	Ralstonia phage RSY1	49	87	44.90
NC_005841	Enterobacteria phage ST104	63	85	20.63
NC_009526	Staphylococcus phage 80alpha	73	41	8.22
NC_027996	Campylobacter virus CPt10	196	35	10.20
NC_019512	Helicobacter phage 1961P	33	20	9.09
NC_015286	Synechococcus phage Syn19	215	623	33.49
NC_007049	Staphylococcus phage 53	74	40	8.11
NC_022058	Mycobacterium phage Adzzy	96	52	7.29
NC_006963	Blackberry yellow vein-associated virus	9	21	11.11
NC_013647	Klebsiella phage KP32	44	77	27.27
NC_008168	Choristoneura occidentalis granulovirus	116	8	3.45
NC_022096	Pseudomonas phage PaBG	308	227	5.52
NC_009877	Mycobacterium phage U2	81	48	8.64
NC_008603	Paramecium bursaria Chlorella virus FR483	849	690	7.07
NC_019421	Clostridium phage phiMMP02	76	67	6.58
NC_001798	Human alphaherpesvirus 2	77	18	3.90
NC_023615	Invertebrate iridescent virus 22	174	187	12.07
NC_013648	Enterococcus phage phiFL3A	64	35	14.06
NC_015116	Avian leukemia virus	3	1	33.33
NC_006949	Enterobacteria phage ES18	79	67	17.72
NC_006565	Lactobacillus virus LP65	165	29	4.85
NC_023552	Mycobacterium phage Donovan	78	70	10.26
NC_023725	Mycobacterium phage Nappy	234	128	8.12
NC_019719	Enterobacteria phage HK633	67	60	23.88
NC_022982	Xylella phage Paz	51	22	17.65
NC_005893	Lactobacillus phage phiAT3	55	6	3.64
NC_021311	Mycobacterium phage Phaux	145	156	10.34
NC_021221	Fowl aviadenovirus 5	39	1	2.56
NC_008376	Geobacillus phage GBSV1	54	27	14.81
NC_023587	Synechococcus phage ACG-2014h	221	545	33.48
NC_019550	Liberibacter phage SC2	47	59	17.02
NC_020841	Psychrobacter phage pOW20-A	71	209	15.49
NC_008194	Mycobacterium virus 244	142	124	9.86
NC_003310	Monkeypox virus Zaire-96-I-16	191	102	3.66
NC_015271	Salmonella phage Vi06	47	37	25.53
NC_003309	Burkholderia virus phiE125	71	117	28.17
NC_019525	Bdellovibrio phage phi1422	76	61	10.53
NC_024329	Podovirus Lau218	48	151	22.92
