Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	209	96.59
NC_019503	Escherichia phage ime09	268	91	7.84
NC_024625	Peridroma alphabaculovirus	139	44	3.60
NC_002321	Staphylococcus phage PVL	62	26	9.68
NC_022987	Xylella phage Prado	52	15	15.38
NC_023737	Mycobacterium phage Pleione	238	118	5.88
NC_021534	Vibrio phage pYD38-A	77	106	11.69
NC_002484	Pseudomonas phage D3	99	202	23.23
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	39	17.31
NC_023736	Ralstonia phage RSB2	52	71	17.31
NC_019769	Enterobacteria phage HK542	57	72	24.56
NC_005839	Agrotis segetum granulovirus	132	23	2.27
NC_021340	Halovirus HHTV-2	88	15	2.27
NC_011142	Iodobacteriophage phiPLPE	84	42	15.48
NC_019708	Enterobacteria phage mEp235	61	130	21.31
NC_025375	Stygiolobus rod-shaped virus	37	7	2.70
NC_021305	Mycobacterium phage Murphy	146	139	8.22
NC_006936	Lactobacillus virus phiJL1	46	7	6.52
NC_025420	Lactobacillus phage Ld17	50	16	6.00
NC_001501	Moloney murine leukemia virus	3	1	33.33
NC_011287	Mycobacterium phage Pacc40	101	32	4.95
NC_024906	Rose leaf rosette-associated virus	13	31	7.69
NC_021310	Mycobacterium phage Newman	97	18	7.22
NC_000898	Human betaherpesvirus 6B	104	4	1.92
NC_009554	Lactobacillus phage LL-H	51	20	11.76
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	23	20.48
NC_001664	Human betaherpesvirus 6A	88	5	2.27
NC_011222	Bacteroides phage B40-8	46	71	17.39
NC_003315	Haemophilus phage HP2	37	5	5.41
NC_023601	Pseudomonas phage phiPsa374	173	83	10.40
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	71	2.13
NC_012663	Lactococcus phage P087	88	63	3.41
NC_007145	Burkholderia virus phi52237	47	18	23.40
NC_021323	Staphylococcus phage StauST398-2	62	55	17.74
NC_009018	Streptococcus phage phi3396	64	31	9.38
NC_009552	Geobacillus virus E2	71	158	15.49
NC_020853	Loktanella phage pCB2051-A	76	58	15.79
NC_024122	Salmonella phage vB_SalM_SJ3	210	52	10.00
NC_011373	Pseudomonas phage PAJU2	79	115	22.78
NC_021531	Cronobacter phage CR5	231	139	3.03
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	125	18.26
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	1	1.32
NC_015290	Prochlorococcus phage P-SSM7	237	736	33.76
NC_021312	Phaeocystis globosa virus	434	776	20.97
NC_020198	Pseudomonas phage JBD30	56	6	8.93
NC_001716	Human betaherpesvirus 7	86	4	2.33
NC_011644	Equid alphaherpesvirus 9	80	35	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	33	21.15
NC_026924	Synechococcus phage ACG-2014g	216	592	33.33
NC_013021	Cyanophage PSS2	131	122	8.40
NC_021540	Vibrio phage JA-1	79	31	8.86
NC_019411	Caulobacter virus Swift	343	166	9.62
NC_002531	Alcelaphine gammaherpesvirus 1	71	17	4.23
NC_002643	Bdellovibrio phage phiMH2K	11	3	9.09
NC_018861	Campylobacter phage CP30A	162	48	9.88
NC_015159	Vibrio phage ICP3	54	66	16.67
NC_023703	Mycobacterium phage Dori	94	24	11.70
NC_021775	Salmonella phage FSL SP-031	59	48	18.64
NC_021804	Cellulophaga phage phi39:1	48	94	27.08
NC_019927	Cronobacter phage ENT47670	46	85	19.57
NC_020860	Cellulophaga phage phiSM	59	61	23.73
NC_014564	Turkey adenovirus 1	37	6	2.70
NC_024134	Escherichia phage FFH2	218	51	8.72
NC_020854	Cyanophage KBS-S-2A	64	173	39.06
NC_001826	Murid gammaherpesvirus 4	80	24	3.75
NC_024121	Serratia phage PS2	275	98	10.91
NC_002816	Cydia pomonella granulovirus	143	4	1.40
NC_023705	Mycobacterium phage Liefie	61	22	6.56
NC_025455	Synechococcus phage S-CBP2	53	36	18.87
NC_020416	Salmonella phage vB_SenMS16	268	91	11.94
NC_028990	Enterococcus phage vB_EfaS_IME196	57	26	12.28
