Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	220	96.59
NC_019503	Escherichia phage ime09	268	68	8.58
NC_024625	Peridroma alphabaculovirus	139	45	3.60
NC_002321	Staphylococcus phage PVL	62	27	8.06
NC_009087	Chrysanthemum virus B	6	1	16.67
NC_022987	Xylella phage Prado	52	14	7.69
NC_023737	Mycobacterium phage Pleione	238	122	5.88
NC_021534	Vibrio phage pYD38-A	77	99	15.58
NC_002484	Pseudomonas phage D3	99	196	23.23
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	50	21.15
NC_023736	Ralstonia phage RSB2	52	82	19.23
NC_019769	Enterobacteria phage HK542	57	59	24.56
NC_005839	Agrotis segetum granulovirus	132	18	2.27
NC_021340	Halovirus HHTV-2	88	27	4.55
NC_011142	Iodobacteriophage phiPLPE	84	53	10.71
NC_019708	Enterobacteria phage mEp235	61	132	26.23
NC_025375	Stygiolobus rod-shaped virus	37	11	5.41
NC_021305	Mycobacterium phage Murphy	146	145	8.22
NC_006936	Lactobacillus virus phiJL1	46	13	6.52
NC_025420	Lactobacillus phage Ld17	50	26	12.00
NC_001501	Moloney murine leukemia virus	3	1	33.33
NC_011287	Mycobacterium phage Pacc40	101	31	4.95
NC_024906	Rose leaf rosette-associated virus	13	21	7.69
NC_021310	Mycobacterium phage Newman	97	15	8.25
NC_000898	Human betaherpesvirus 6B	104	2	0.96
NC_009554	Lactobacillus phage LL-H	51	28	9.80
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	8	8.43
NC_001664	Human betaherpesvirus 6A	88	1	1.14
NC_011222	Bacteroides phage B40-8	46	54	15.22
NC_003315	Haemophilus phage HP2	37	5	8.11
NC_023601	Pseudomonas phage phiPsa374	173	95	9.83
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	57	1.42
NC_012663	Lactococcus phage P087	88	70	4.55
NC_007145	Burkholderia virus phi52237	47	20	17.02
NC_021323	Staphylococcus phage StauST398-2	62	62	17.74
NC_009018	Streptococcus phage phi3396	64	15	4.69
NC_009552	Geobacillus virus E2	71	153	19.72
NC_020853	Loktanella phage pCB2051-A	76	68	15.79
NC_024122	Salmonella phage vB_SalM_SJ3	210	43	8.57
NC_011373	Pseudomonas phage PAJU2	79	123	29.11
NC_021531	Cronobacter phage CR5	231	121	2.60
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	171	18.26
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	3	2.63
NC_015290	Prochlorococcus phage P-SSM7	237	616	30.80
NC_021312	Phaeocystis globosa virus	434	712	12.90
NC_020198	Pseudomonas phage JBD30	56	12	10.71
NC_001716	Human betaherpesvirus 7	86	3	2.33
NC_011644	Equid alphaherpesvirus 9	80	29	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	37	19.23
NC_026924	Synechococcus phage ACG-2014g	216	443	30.56
NC_013021	Cyanophage PSS2	131	149	7.63
NC_021540	Vibrio phage JA-1	79	25	7.59
NC_019411	Caulobacter virus Swift	343	145	8.16
NC_002531	Alcelaphine gammaherpesvirus 1	71	12	2.82
NC_018861	Campylobacter phage CP30A	162	25	9.88
NC_015159	Vibrio phage ICP3	54	80	18.52
NC_023703	Mycobacterium phage Dori	94	23	8.51
NC_021775	Salmonella phage FSL SP-031	59	39	18.64
NC_021804	Cellulophaga phage phi39:1	48	81	14.58
NC_019927	Cronobacter phage ENT47670	46	97	23.91
NC_020860	Cellulophaga phage phiSM	59	53	11.86
NC_014564	Turkey adenovirus 1	37	5	2.70
NC_024134	Escherichia phage FFH2	218	41	6.42
NC_020854	Cyanophage KBS-S-2A	64	188	39.06
NC_001826	Murid gammaherpesvirus 4	80	13	3.75
NC_024121	Serratia phage PS2	275	48	8.36
NC_002816	Cydia pomonella granulovirus	143	3	0.70
NC_023705	Mycobacterium phage Liefie	61	32	4.92
NC_025455	Synechococcus phage S-CBP2	53	58	22.64
NC_020416	Salmonella phage vB_SenMS16	268	64	10.82
NC_028990	Enterococcus phage vB_EfaS_IME196	57	21	12.28
NC_003291	Listeria phage 2389	59	35	5.08
NC_020839	Rhodobacter phage RC1	56	69	12.50
NC_022065	Mycobacterium phage Contagion	140	147	9.29
NC_011292	Mycobacterium phage Konstantine	95	27	4.21
NC_020489	Rhodobacter phage RcapNL	64	29	10.94
NC_015253	Brochothrix phage A9	199	21	3.52
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	94	8.66
NC_004456	Vibrio phage VHML	57	30	19.30
NC_016163	Yersinia phage phiR1-37	367	133	3.27
NC_007149	Vibriophage VP4	31	80	32.26
NC_025115	Ralstonia phage RSY1	49	51	10.20
NC_005841	Enterobacteria phage ST104	63	76	14.29
NC_009526	Staphylococcus phage 80alpha	73	38	8.22
NC_027996	Campylobacter virus CPt10	196	26	5.61
NC_019512	Helicobacter phage 1961P	33	15	6.06
NC_015286	Synechococcus phage Syn19	215	483	31.63
NC_007049	Staphylococcus phage 53	74	37	8.11
NC_022058	Mycobacterium phage Adzzy	96	54	9.38
NC_006963	Blackberry yellow vein-associated virus	9	13	11.11
NC_006658	Cotesia congregata bracovirus	7	1	14.29
NC_013647	Klebsiella phage KP32	44	45	20.45
NC_008168	Choristoneura occidentalis granulovirus	116	5	0.86
NC_022096	Pseudomonas phage PaBG	308	219	4.55
NC_009877	Mycobacterium phage U2	81	59	9.88
